,,"Name (click to view profile)",Date,Likes,isHearted,isPinned,Comment,"Profile ID","Comment ID","Comment URL"
70,,Karazıpkalı,"2021-01-17 18:45:30",3,no,no,❤,UCneY4OFGsWULDufxM3FDK6A,UgyeFhhR5_4aN4cVy0Z4AaABAg,https://www.youtube.com/watch?v=Sjo5ue9ZTuw&lc=UgyeFhhR5_4aN4cVy0Z4AaABAg
71,,"Sülo Serezgil","2021-01-19 10:30:13",3,no,no,"Wir können Atome spalten aber unsere Vorurteile nicht. Bitter sehr bitter.....",UCvm_tIFI4aijr_IRjs2Ptiw,UgxmeO4tENTfEgL99Ep4AaABAg,https://www.youtube.com/watch?v=Sjo5ue9ZTuw&lc=UgxmeO4tENTfEgL99Ep4AaABAg
72,,conBON,"2021-01-20 10:19:03",0,no,no,"Song https://youtu.be/V7S_FRvk-3Y",UC92u0W8KIi3vyZdmUJPHodA,Ugwo_xP82lWU1dwTFp14AaABAg,https://www.youtube.com/watch?v=Sjo5ue9ZTuw&lc=Ugwo_xP82lWU1dwTFp14AaABAg
73,,"çin biçme makinesi METE HAN","2021-01-22 21:31:36",11,no,no,"As bayrakları 🇩🇪🇹🇷 💖",UCGrXSeAMy4FH9N_k8pA8PwQ,UgxpdegpQIzhbXA_WsF4AaABAg,https://www.youtube.com/watch?v=Sjo5ue9ZTuw&lc=UgxpdegpQIzhbXA_WsF4AaABAg
74,,"Dr. Seymur Karimli","2021-01-23 11:45:41",2,no,no,"wow 😯 Gänsehaut 👍",UCg_pwMoyC2gzr33Ihvq890w,UgxDnaHfs34cW-DbnTV4AaABAg,https://www.youtube.com/watch?v=Sjo5ue9ZTuw&lc=UgxDnaHfs34cW-DbnTV4AaABAg
75,,ordeR,"2021-01-23 14:05:28",7,no,no,"Greetings from Turkey <3",UCegFmJr3dKs7QEsSx4X7Plg,UgzISw58Gjy__CgOjCF4AaABAg,https://www.youtube.com/watch?v=Sjo5ue9ZTuw&lc=UgzISw58Gjy__CgOjCF4AaABAg
76,,"Ano nym","2021-01-24 03:29:25",1,no,no,"Welche h.s kinder disliken sowas",UCdiN1p45z2WYqQKC96BC7uQ,Ugy_z4s5aokKegMMXxZ4AaABAg,https://www.youtube.com/watch?v=Sjo5ue9ZTuw&lc=Ugy_z4s5aokKegMMXxZ4AaABAg
77,,CptJMorris,"2021-01-25 02:00:26",4,no,no,♥️,UCAAI4QLP2d1CMSb31hz7tyA,UgzaZ0067QyvPGxlSDN4AaABAg,https://www.youtube.com/watch?v=Sjo5ue9ZTuw&lc=UgzaZ0067QyvPGxlSDN4AaABAg
78,,"Vedat 26","2021-01-26 09:48:54",0,no,no,"7000 dislike 
Sehr traurig",UCqggwCWAbndZvEykZYfC7aA,UgwRz0mQ0K1lWlWc8794AaABAg,https://www.youtube.com/watch?v=Sjo5ue9ZTuw&lc=UgwRz0mQ0K1lWlWc8794AaABAg
79,,"julian Rosas","2021-02-01 13:37:45",0,no,no,"no entendi un culo pero piola c:",UCus4WEhRDyqUJ_T5DnDA98A,Ugz_yUXGGyntz0JO7Fp4AaABAg,https://www.youtube.com/watch?v=Sjo5ue9ZTuw&lc=Ugz_yUXGGyntz0JO7Fp4AaABAg
80,,"HUSEYIN YASAR ATILGAN","2021-02-06 07:35:23",1,no,no,"müzik nedir bilen var mı?",UC0Pkc_ZFjJ2x01Z8Qyty2PQ,UgwXv2PvDoiYGCfSW8B4AaABAg,https://www.youtube.com/watch?v=Sjo5ue9ZTuw&lc=UgwXv2PvDoiYGCfSW8B4AaABAg
81,,Adem,"2021-02-23 12:06:48",1,no,no,"vielen vielen lieben Dank Edeka wir sind alle gleich 😊😊",UC_ldsXggHIi_IK0aNmoyC_w,UgwUM2GLGUsAl6XHnXV4AaABAg,https://www.youtube.com/watch?v=Sjo5ue9ZTuw&lc=UgwUM2GLGUsAl6XHnXV4AaABAg
82,,"Türkiye 25","2021-02-24 19:37:21",3,no,no,"Ob 🇹🇷🇬🇷🇦🇱🇲🇦🇮🇹🇱🇧🇲🇰🇵🇰🇷🇴🇵🇹🇹🇭🇩🇿🇦🇫🇦🇿🇧🇬🇭🇷🇽🇰wir alle gehören zusammen 🤲🏼🕊❤️",UCVpOQFqywrv5x_k9hBG75lg,UgwbYNgLi4BOiP76ktN4AaABAg,https://www.youtube.com/watch?v=Sjo5ue9ZTuw&lc=UgwbYNgLi4BOiP76ktN4AaABAg
83,,TheHank1954,"2021-02-25 11:51:10",4,no,no,"Einfach widerlich....",UCyQha8WHcojzpbcc-XdfFTQ,UgxHX2O2KXqMkv2gNsV4AaABAg,https://www.youtube.com/watch?v=Sjo5ue9ZTuw&lc=UgxHX2O2KXqMkv2gNsV4AaABAg
84,,"Sven Plocher","2021-03-05 16:01:55",3,no,no,EKELHAFT,UCfLGee3UbTCtXsL7sFWTtTQ,UgzZYpyft4Um3w2ihXN4AaABAg,https://www.youtube.com/watch?v=Sjo5ue9ZTuw&lc=UgzZYpyft4Um3w2ihXN4AaABAg
85,,"ALMANYA MACERASI","2021-03-10 06:24:05",3,no,no,"Keine Angst bitte wir sind auch Menschen ❤️",UC1LBnQ5mfSfT3nWqw2ZQkYA,UgxbV0eNWy4H0H2SdBN4AaABAg,https://www.youtube.com/watch?v=Sjo5ue9ZTuw&lc=UgxbV0eNWy4H0H2SdBN4AaABAg
86,,"Dieter Schmidt","2021-03-10 15:24:12",25,no,no,"Edeka ihr schafft es jedes Jahr immer und immer wieder mit eurer Werbung mich tief zu berühren !!!
#DankeEDEKA",UC3PihvPy7Cuc93qfstxK87g,Ugx03tNiaFQwmKgOwXd4AaABAg,https://www.youtube.com/watch?v=Sjo5ue9ZTuw&lc=Ugx03tNiaFQwmKgOwXd4AaABAg
87,,"Kevin Böhm","2021-03-18 12:02:24",6,no,no,"Ich muss jedes Mal weinen bei diesem Video 🥺",UCiLk0sVQCLwsl8qXHK4Niug,UgzaZH8FE0mng3xzLCF4AaABAg,https://www.youtube.com/watch?v=Sjo5ue9ZTuw&lc=UgzaZH8FE0mng3xzLCF4AaABAg
88,,"Du Kelb","2021-03-20 21:50:33",6,no,no,"🇹🇷🇩🇪 wir sind und bleiben alles Freunde und Familie Leute !! Schade wieviel Hass  in diese Beziehung gegossen wurde.",UCxjrpVwH_0p9TNXpXrOGl2Q,UgyzbtnfEWKNK0OjBd94AaABAg,https://www.youtube.com/watch?v=Sjo5ue9ZTuw&lc=UgyzbtnfEWKNK0OjBd94AaABAg
89,,"Pertti Laamanen","2021-03-24 17:03:35",1,no,no,"Dünyada en güzel şey dost edinmek",UCaHc4Lb5y3R9uPORBnl03Ug,UgxkGg8FUddr6pZwTVx4AaABAg,https://www.youtube.com/watch?v=Sjo5ue9ZTuw&lc=UgxkGg8FUddr6pZwTVx4AaABAg
90,,"Marlon J.h","2021-03-31 07:47:56",0,no,no,"Tolle werbung kann alle dislikes kein bisschen Verstehen",UCXLZaKUVqWjTa8IeUuvdWvA,Ugzb9WaioNCfBHvWy1Z4AaABAg,https://www.youtube.com/watch?v=Sjo5ue9ZTuw&lc=Ugzb9WaioNCfBHvWy1Z4AaABAg
91,,Svenergy,"2021-04-04 14:14:45",0,no,no,"Der letzte seiner Art. Edeka hat Verstanden an wen sich die Werbung in Zukunft zu richten hat. Alle Themen in einem Spot untergebracht, das ist durchaus große Kunst, die gab es zu jeder Zeit. Gut das Rewe nicht Edeka ist!",UCd6NP5UNUBqHwnDsz5bgZvA,Ugwf0ydHE0RawHHJ8J94AaABAg,https://www.youtube.com/watch?v=Sjo5ue9ZTuw&lc=Ugwf0ydHE0RawHHJ8J94AaABAg
92,,Paul,"2021-04-05 21:26:27",1,no,no,"Ich hab jetzt das dritte Mal geweint. Natürlich nach wie vor super aktuell!",UCN7HbyaeNyx-QKKZC70sOfA,UgytyZt4tOmvY8p99qR4AaABAg,https://www.youtube.com/watch?v=Sjo5ue9ZTuw&lc=UgytyZt4tOmvY8p99qR4AaABAg
93,,"xdr kaymaz","2021-04-09 15:24:08",1,no,no,"Warum tauchen hier plötzlich Türkische Flaggen?",UCtV28NkWiJyeQ12qwOtp4yg,UgzhBPjbYoE0EQSeoMJ4AaABAg,https://www.youtube.com/watch?v=Sjo5ue9ZTuw&lc=UgzhBPjbYoE0EQSeoMJ4AaABAg
94,,"Empires puzzles ELEANOR","2021-04-14 17:36:14",1,no,no,"A world big enough for all of us, death will come anyway, there's no need to break it. Let's try to make each other happy as we live. It's not hard to turn our backs on those who don't want to be happy 😉🇹🇷❤️🇩🇪 sevgiler",UCInQ69AkShC997T-endih7w,Ugxhahr52h_yV-Iy9FV4AaABAg,https://www.youtube.com/watch?v=Sjo5ue9ZTuw&lc=Ugxhahr52h_yV-Iy9FV4AaABAg
95,,"Gordon Dry","2021-04-24 22:24:31",2,no,no,Polemik.,UC2JDDqFDJXTwd9zVuxv58NQ,UgxX7r8mHTHQwMrk7X94AaABAg,https://www.youtube.com/watch?v=Sjo5ue9ZTuw&lc=UgxX7r8mHTHQwMrk7X94AaABAg
96,,"Ünsüz Herif","2021-05-02 22:22:41",0,no,no,"I've never quite understood the Turcophobia in Germany. After all, it was the Germans who invited Turks there.

All in all, great ad.",UCYtMOCslyI83G2Ov-humuhQ,UgyLbHMLbJZjtMwd45d4AaABAg,https://www.youtube.com/watch?v=Sjo5ue9ZTuw&lc=UgyLbHMLbJZjtMwd45d4AaABAg
97,,"M Arslan","2021-05-18 20:06:06",0,no,no,"Ihr habt mich dazu inspiriert, mit dieser Thematik und Eurem Unternehmen ein Kapitel meiner Diplomarbeit zu widmen. Dieser Beitrag hat mich aus diversen Gründen und aus verschiedenen Blickwinkeln sehr bewegt. #dankeEdeka",UCKlyx8jDECnwWahskMzeOXw,UgxAuHknGl8gUMQCc1l4AaABAg,https://www.youtube.com/watch?v=Sjo5ue9ZTuw&lc=UgxAuHknGl8gUMQCc1l4AaABAg
98,,"SERKAN 22/59","2021-05-27 18:48:15",1,no,no,🇩🇪🇹🇷❤❤❤❤😍🤗😢,UCIgEqIX8UWihSflrt-cuY_w,UgwGAFFsTFDj0EY0rvN4AaABAg,https://www.youtube.com/watch?v=Sjo5ue9ZTuw&lc=UgwGAFFsTFDj0EY0rvN4AaABAg
99,,Berkay_bcan,"2021-06-10 11:45:12",1,no,no,"Es ist das beste Werbung den ich jemals in mein leben gesehen hab. Einfach nnur beste, (Übriegens bin Türke und Deutsche)",UC49Pt93IsBZ8fgOcTsVW7Ew,UgwO_a0otmHuzfUGO094AaABAg,https://www.youtube.com/watch?v=Sjo5ue9ZTuw&lc=UgwO_a0otmHuzfUGO094AaABAg
100,,"Musa Erdogan","2021-06-15 11:05:39",0,no,no,"Wünsche der Türkischen und Deutschen  Nationalmannschaften in der EM alles Gute Haut alle raus so damit wir Finale beide stehen..  verdammt kann einfach für zwei Nationalmannschaft feiern ahavga",UCr0O356RPe_q09briyvRd-A,Ugzaim0K45HBwYMyAmt4AaABAg,https://www.youtube.com/watch?v=Sjo5ue9ZTuw&lc=Ugzaim0K45HBwYMyAmt4AaABAg
